# Rx, Ry, d
0.000000000000000000e+00,0.000000000000000000e+00,1.716666666500000105e+00
-1.383570494093989273e-02,2.468306823372683478e+00,1.716666666500000105e+00
2.116862855963803192e+00,3.714442307017145062e+00,1.716666666500000105e+00
-2.767140988187978545e-02,4.936613646745366957e+00,1.716666666500000105e+00
2.103027151022863972e+00,6.182749130389828096e+00,1.716666666500000105e+00
4.233725711927606383e+00,7.428884614034290124e+00,1.716666666500000105e+00
-2.172205675727563179e+00,6.158784986473587963e+00,1.716666666500000105e+00
-4.150711482281967818e-02,7.404920470118050879e+00,1.716666666500000105e+00
2.089191446081922976e+00,8.651055953762512019e+00,1.716666666500000105e+00
4.219890006986665831e+00,9.897191437406974046e+00,1.716666666500000105e+00
6.350588567891410463e+00,1.114332692105143430e+01,1.716666666500000105e+00
-2.186041380668502399e+00,8.627091809846273662e+00,1.716666666500000105e+00
-5.534281976375957091e-02,9.873227293490733913e+00,1.716666666500000105e+00
2.075355741140983312e+00,1.111936277713519416e+01,1.716666666500000105e+00
4.206054302045727944e+00,1.236549826077965619e+01,1.716666666500000105e+00
6.336752862950470799e+00,1.361163374442411822e+01,1.716666666500000105e+00
8.467451423855212767e+00,1.485776922806858025e+01,1.716666666500000105e+00
-4.330575646514184918e+00,9.849263149574493781e+00,1.716666666500000105e+00
-2.199877085609442062e+00,1.109539863321895581e+01,1.716666666500000105e+00
-6.917852470469945669e-02,1.234153411686341606e+01,1.716666666500000105e+00
2.061520036200044981e+00,1.358766960050787631e+01,1.716666666500000105e+00
4.192218597104787392e+00,1.483380508415234189e+01,1.716666666500000105e+00
6.322917158009530247e+00,1.607994056779680037e+01,1.716666666500000105e+00
8.453615718914273103e+00,1.732607605144126595e+01,1.716666666500000105e+00
1.058431427981901685e+01,1.857221153508572087e+01,1.716666666500000105e+00
-4.344411351455126358e+00,1.231756997294717593e+01,1.716666666500000105e+00
-2.213712790550383946e+00,1.356370545659163795e+01,1.716666666500000105e+00
-8.301422964563935636e-02,1.480984094023610176e+01,1.716666666500000105e+00
2.047684331259103541e+00,1.605597642388056201e+01,1.716666666500000105e+00
4.178382892163845952e+00,1.730211190752502404e+01,1.716666666500000105e+00
6.309081453068588807e+00,1.854824739116948606e+01,1.716666666500000105e+00
8.439780013973331663e+00,1.979438287481394809e+01,1.716666666500000105e+00
1.057047857487807363e+01,2.104051835845841012e+01,1.716666666500000105e+00
1.270117713578282093e+01,2.228665384210286859e+01,1.716666666500000105e+00
-6.488945617300808877e+00,1.353974131267539960e+01,1.716666666500000105e+00
-4.358247056396066910e+00,1.478587679631986163e+01,1.716666666500000105e+00
-2.227548495491321834e+00,1.603201227996432365e+01,1.716666666500000105e+00
-9.684993458657925602e-02,1.727814776360878568e+01,1.716666666500000105e+00
2.033848626318163433e+00,1.852428324725324416e+01,1.716666666500000105e+00
4.164547187222906288e+00,1.977041873089770618e+01,1.716666666500000105e+00
6.295245748127649144e+00,2.101655421454217176e+01,1.716666666500000105e+00
8.425944309032391999e+00,2.226268969818663024e+01,1.716666666500000105e+00
1.055664286993713752e+01,2.350882518183109582e+01,1.716666666500000105e+00
1.268734143084188126e+01,2.475496066547555429e+01,1.716666666500000105e+00
1.481803999174662323e+01,2.600109614912001632e+01,1.716666666500000105e+00
-6.502781322241749429e+00,1.600804813604807819e+01,1.716666666500000105e+00
-4.372082761337004797e+00,1.725418361969254732e+01,1.716666666500000105e+00
-2.241384200432261942e+00,1.850031910333700580e+01,1.716666666500000105e+00
-1.106856395275191418e-01,1.974645458698146783e+01,1.716666666500000105e+00
2.020012921377223769e+00,2.099259007062592985e+01,1.716666666500000105e+00
4.150711482281966624e+00,2.223872555427038833e+01,1.716666666500000105e+00
6.281410043186709480e+00,2.348486103791485746e+01,1.716666666500000105e+00
8.412108604091455888e+00,2.473099652155931238e+01,1.716666666500000105e+00
1.054280716499619786e+01,2.597713200520377796e+01,1.716666666500000105e+00
1.267350572590094160e+01,2.722326748884823644e+01,1.716666666500000105e+00
1.480420428680568357e+01,2.846940297249269847e+01,1.716666666500000105e+00
1.693490284771042553e+01,2.971553845613716049e+01,1.716666666500000105e+00
-8.647315588087431948e+00,1.723021947577630542e+01,1.716666666500000105e+00
-6.516617027182687316e+00,1.847635495942076389e+01,1.716666666500000105e+00
-4.385918466277944461e+00,1.972249044306522947e+01,1.716666666500000105e+00
-2.255219905373201605e+00,2.096862592670969150e+01,1.716666666500000105e+00
-1.245213444684590276e-01,2.221476141035414997e+01,1.716666666500000105e+00
2.006177216436283661e+00,2.346089689399861200e+01,1.716666666500000105e+00
4.136875777341026073e+00,2.470703237764307048e+01,1.716666666500000105e+00
6.267574338245772481e+00,2.595316786128753961e+01,1.716666666500000105e+00
8.398272899150516224e+00,2.719930334493199808e+01,1.716666666500000105e+00
1.052897146005525819e+01,2.844543882857646011e+01,1.716666666500000105e+00
1.265967002096000016e+01,2.969157431222092214e+01,1.716666666500000105e+00
1.479036858186474390e+01,3.093770979586538061e+01,1.716666666500000105e+00
1.692106714276948765e+01,3.218384527950983909e+01,1.716666666500000105e+00
1.905176570367422784e+01,3.342998076315430467e+01,1.716666666500000105e+00
-8.661151293028369835e+00,1.969852629914898756e+01,1.716666666500000105e+00
-6.530452732123626980e+00,2.094466178279344959e+01,1.716666666500000105e+00
-4.399754171218884125e+00,2.219079726643791162e+01,1.716666666500000105e+00
-2.269055610314141713e+00,2.343693275008237364e+01,1.716666666500000105e+00
-1.383570494093989134e-01,2.468306823372683212e+01,1.716666666500000105e+00
1.992341511495343775e+00,2.592920371737129770e+01,1.716666666500000105e+00
4.123040072400089961e+00,2.717533920101575262e+01,1.716666666500000105e+00
6.253738633304832817e+00,2.842147468466022175e+01,1.716666666500000105e+00
8.384437194209574784e+00,2.966761016830468378e+01,1.716666666500000105e+00
1.051513575511431853e+01,3.091374565194914226e+01,1.716666666500000105e+00
1.264583431601906049e+01,3.215988113559360073e+01,1.716666666500000105e+00
1.477653287692380424e+01,3.340601661923806631e+01,1.716666666500000105e+00
1.690723143782854621e+01,3.465215210288253189e+01,1.716666666500000105e+00
1.903792999873328995e+01,3.589828758652698326e+01,1.716666666500000105e+00
2.116862855963803369e+01,3.714442307017144174e+01,1.716666666500000105e+00
-1.080568555887405324e+01,2.092069763887721123e+01,1.716666666500000105e+00
-8.674986997969309499e+00,2.216683312252166971e+01,1.716666666500000105e+00
-6.544288437064566644e+00,2.341296860616613529e+01,1.716666666500000105e+00
-4.413589876159824676e+00,2.465910408981059376e+01,1.716666666500000105e+00
-2.282891315255081377e+00,2.590523957345505934e+01,1.716666666500000105e+00
-1.521927543503388269e-01,2.715137505709951782e+01,1.716666666500000105e+00
1.978505806554407442e+00,2.839751054074397985e+01,1.716666666500000105e+00
4.109204367459150298e+00,2.964364602438844543e+01,1.716666666500000105e+00
6.239902928363893153e+00,3.088978150803290390e+01,1.716666666500000105e+00
8.370601489268635120e+00,3.213591699167736238e+01,1.716666666500000105e+00
1.050130005017337886e+01,3.338205247532182796e+01,1.716666666500000105e+00
1.263199861107812083e+01,3.462818795896629354e+01,1.716666666500000105e+00
1.476269717198286457e+01,3.587432344261074491e+01,1.716666666500000105e+00
1.689339573288760832e+01,3.712045892625521049e+01,1.716666666500000105e+00
